Name,Description,What It Measures,Optimal Ranges,High Levels Mean,Low Levels Mean,Health Implications,How to Improve,References
"Luteinizing Hormone (LH)","A crucial hormone for reproductive health. Stimulates ovulation in females and testosterone production in males.","Triggers egg release and corpus luteum development in females. Stimulates Leydig cells for testosterone production in males.","Male: Normal 2–9 mIU/mL. Female: Follicular 1.68–15; Midcycle peak 21.9–56.6; Luteal 0.61–16.3; Postmenopausal 14.2–52.3 mIU/mL. Test on day 3 of cycle.","Males: testicular damage or Klinefelter's syndrome. Females: PCOS or Turner syndrome.","Males: pituitary or hypothalamic issues. Females: malnutrition, eating disorders, pituitary/hypothalamic disorders.","Males: testing for infertility, low libido, low sperm count. Females: determine infertility causes, predict ovulation, confirm menopause. Not to be used as birth control.","Vegetarian diet to lower LH; increase fiber; yoga; quit smoking; healthy weight loss; vitamin E supplementation.","MedlinePlus; ABIM; University of Rochester; Peer-reviewed studies"
"Prolactin (PRL)","A hormone synthesized primarily by the pituitary gland. In women, regulates milk production and menstrual cycle. In men, affects testosterone production, libido, erectile function, and fertility. Releases in response to stress and sleep.","Pituitary gland function and reproductive hormone balance.","Men: <20 ng/mL; Nonpregnant Women: <25 ng/mL; Pregnant Women: 80–400 ng/mL. Optimal testing: 2–3 hours after waking, fasting.","Men: inhibits testosterone, decreased energy/muscle, anemia, ED, low sperm. Women: menstrual irregularities, vaginal dryness, galactorrhea. Causes: antipsychotics, opiates, infections, pituitary tumors.","Men: negative metabolic, psychological, sexual characteristics. Women: impedes breast milk production, may increase cardiovascular/metabolic complications.","Important indicator of pituitary function, reproductive health, and metabolic status in both sexes.","Lower: vitamin C foods, limit gluten, limit alcohol, reduce stress, vitamin B6, E, zinc, ashwagandha. Raise (lactation): natural/pharmacologic galactagogues, fenugreek.","Mount Sinai; NIH/NCBI; UpToDate; Synlab; ScienceDirect; Springer Link"
"Prostate-Specific Antigen (PSA)","A protein produced by the prostate gland that plays a role in maintaining semen in liquid state, facilitating sperm movement.","Prostate health and potential disease. Screens for prostate problems, monitors cancer treatment, assesses recurrence risk.","Age-stratified (Cleveland Clinic): 40–50: Normal 0–2.5 ng/mL; 50–60: Normal 2.5–3.5; 60–70: Normal 3.5–4.5; 70–80: Normal 4.5–5.5 ng/mL. Abnormal exceeds upper limit for age.","PSA 4–10: 25% likelihood of prostate cancer. PSA >10: >50% likelihood. May indicate enlarged prostate, inflammation, or cancer. Not all elevated PSA indicates cancer.","No specific clinical implications mentioned.","Prostate cancer affects 1 in 8 men and is second leading cancer death in men. Used to monitor treatment efficacy.","Lycopene via red/pink fruits and vegetables; plant-based diets; coffee; green tea. Increase physical activity; quit smoking. Vitamin D supplementation.","American Cancer Society; Cleveland Clinic; Mayo Clinic; NCBI; PubMed"
"Sex Hormone-Binding Globulin (SHBG)","A protein made by the liver that carries and regulates sex hormones. When hormones bind to SHBG they become inactive — only free (unbound) hormones are biologically available.","Hormone bioavailability. Males test when SHBG is elevated (reducing free testosterone); females test when SHBG is low (increasing active testosterone).","Males: 13.3–89.5 nmol/L (Mayo). Males age-specific: Under 50: 18.3–54.8; Over 50: 20.6–76.7 nmol/L. Females menstruating: 18.2–135.5; Menopausal: 16.8–125.2 nmol/L. SHBG increases with age in males, decreases in females.","Associated with pregnancy, weight loss, hepatitis, hemochromatosis, hyperthyroidism. In males: excess binds more testosterone, reducing bioavailable testosterone, causing low libido, ED, infertility.","Associated with obesity, insulin resistance, metabolic disease, diabetes, PCOS, fatty liver. In females: abnormally high active testosterone causing infertility, acne, irregular menstruation, excessive hair growth.","Males with normal total T but low libido/ED benefit from SHBG testing. Females with infertility, acne, menstrual irregularities warrant assessment.","Lower elevated SHBG: increase protein, quit smoking, abstain from alcohol, boron supplementation. Raise low SHBG: limit saturated fat, increase fiber, olive oil, healthy BMI, exercise, vitamin D.","MedlinePlus; University of Rochester; Mayo Clinic Labs; Exeter Clinical Lab; Peer-reviewed studies"
"Vitamin B12 (Cobalamin)","An essential nutrient the body cannot produce independently. Supports red blood cell production, DNA synthesis, and nervous system development/function. Obtained from animal products, nutritional yeast, or fortified foods.","Vitamin B12 serum levels indicating adequacy for blood cell production, nerve function, and DNA synthesis.","Reference range: 180–914 pg/mL; Normal: 200–800 pg/mL; Suboptimal: <200 pg/mL. No sex-specific or tiered ranges.","Not addressed.","Pernicious anemia, weakness/fatigue, nerve damage (tingling, numbness, balance problems), memory difficulties, dementia risk. Particularly concerning in older adults.","Critical for anemia prevention, nerve function, healthy aging, hormonal regulation, fertility, sperm health.","B12-rich foods: clams, beef liver, nutritional yeast. Adults: 2.4 mcg daily; pregnant: 2.6 mcg; breastfeeding: 2.8 mcg. Supplementation available.","NIH; ARUP Laboratory; Mount Sinai; Healthline"
"Free T3 (Triiodothyronine)","The active form of thyroid hormone circulating in blood that can enter tissues and exert biological effects. Unlike bound T3, free T3 is bioavailable. Produced when thyroid converts inactive T4, accounting for ~80% of total T3 synthesis.","Active thyroid hormone levels. Regulates metabolism, heart/digestive functions, muscle control, brain development, bone maintenance.","ABIM: Low <1.9 pg/mL; Normal 1.9–4.4; Optimal 3.2–3.9; High >4.4 pg/mL. No sex-specific ranges. Follows circadian rhythm — peaks ~4am, nadir ~4pm. Morning testing recommended.","May suggest hyperthyroidism (overactive thyroid). Symptoms: weight loss, rapid/irregular heartbeat, increased hunger, anxiousness.","May suggest hypothyroidism (underactive thyroid). Symptoms: lethargy, weight gain, cold sensitivity, hair thinning, constipation.","Thyroid hormones vital to metabolism, heart/digestive functions, muscle control, brain development, bone maintenance.","High: reduce iodine; more cruciferous vegetables. Low: adequate calories and carbohydrates; manage inflammation; reduce stress; improve sleep quality and duration.","Cleveland Clinic; MedlinePlus; ABIM; Oxford University Press"
"Free T4 (Thyroxine)","One of two main thyroid hormones. T4 is inactive and converted to active T3 mainly in the liver, kidneys, brain. Unlike bound T4, free T4 can readily enter body tissues. Free T4 test provides more accurate information than total T4 test.","Thyroid gland health and function. Indicates adequacy of thyroid hormone production.","ABIM: Low <0.59 ng/dL; Normal 0.59–1.22; Optimal 1.1–1.22; High >1.22 ng/dL. No sex-specific ranges.","May indicate thyrotoxicosis from hyperthyroidism or thyroiditis. Symptoms: weight loss, rapid/irregular heartbeat, increased bowel movements.","May suggest hypothyroidism from autoimmune diseases, inadequate iodine, or certain medications. Symptoms: fatigue, weight gain, cold sensitivity, low heart rate.","Thyroid hormones vital to metabolism, heart/digestive functions, muscle control, brain development, bone maintenance.","Lower high: reduce iodine, increase cruciferous vegetables. Raise low: adequate iodine and vitamin B2; increase protein (valine, arginine, leucine); abstain from alcohol.","Cleveland Clinic; MedlinePlus; ABIM; Thyroid Cancer Alliance; Mayo Clinic; NIH/PubMed"
"Thyroid Peroxidase Antibody (TPOAb)","Antibodies produced when the immune system mistakenly targets the thyroid gland. TPO is an enzyme in the thyroid crucial for T4 and T3 synthesis. Elevated TPOAb indicates potential thyroid dysfunction and possible autoimmune disease.","Antibodies against thyroid peroxidase enzyme — reveals whether the immune system is attacking thyroid tissue and the degree of autoimmune thyroid response.","Optimal: <4 IU/mL; Normal: <9.0 IU/mL; High: >9 IU/mL (Mayo Clinic Laboratories). No sex-specific ranges.","Autoimmune thyroid disease. ~90% with elevated TPOAb have autoimmune disease; ~10% do not have thyroid disease. May indicate Hashimoto's or Graves' disease; rarely cancer.","Low TPOAb (<9.0 IU/mL) suggests thyroid dysfunction is not autoimmune in origin.","Hashimoto's: weight gain, fatigue, hair loss, cold intolerance, irregular periods, constipation, depression. Graves': weight loss, bulging eyes, tremors, heat intolerance, anxiety, increased heart rate.","Ensure adequate folate (B9) intake. Increase carnitine intake. Both show potential for lowering elevated TPOAb.","Mayo Clinic Laboratories; MedlinePlus; Cleveland Clinic; British Thyroid Foundation; NCBI/PubMed"
"Aspartate Aminotransferase (AST)","An enzyme important for amino acid metabolism found in liver, heart, kidneys, brain, and muscles. Unlike ALT (liver-specific), AST's broad distribution means elevated levels can indicate damage in multiple organs.","Tissue damage across various organs, particularly liver and heart. Evaluated alongside ALT for comprehensive liver health assessment.","Adults: ~13–39 U/L. Women typically have lower reference ranges than men. Ranges vary by laboratory.","Liver damage (hepatitis, cirrhosis), heart disease/damage, kidney problems, muscle damage, brain injury.","Not specifically addressed.","Monitoring AST helps diagnose hepatitis, cirrhosis, and heart diseases. Aids in evaluating disease severity and treatment effectiveness.","No specific recommendations provided on the page.","Cleveland Clinic; Medscape; Kalas MA et al. (2021)"
"Blood Urea Nitrogen (BUN)","Measures the amount of nitrogen (a waste product from protein breakdown) in blood. When the body processes protein it creates urea, which kidneys normally filter out.","Urea accumulation in blood — indicator of kidney filtration function. Can fluctuate due to dehydration, medications, and other factors.","General adult: 7–20 mg/dL; Ages 1–17: 7–20 mg/dL; Adult males: 7–25 mg/dL; Adult females: 6–21 mg/dL.","Acute or chronic kidney disease, dehydration, congestive heart failure, urinary tract obstruction, GI bleeding, tissue damage, Addison's disease, high-protein diet.","Liver damage, malnutrition, low-protein diet, overhydration.","Vital for detecting and managing kidney function conditions; helps identify complications early and track disease progression.","Balanced diet (fruits, vegetables, whole grains, lean proteins). Maintain adequate hydration. Adjust protein intake. Limit kidney-damaging substances. Manage diabetes, hypertension, heart disease. Regular check-ups.","American Kidney Fund; University of Rochester; Mayo Clinic Labs; Cleveland Clinic; National Kidney Foundation; HealthLink BC"
"Bilirubin","A yellowish substance produced during breakdown of old or damaged red blood cells in the liver. Plays a crucial role in waste removal and serves as indicator of liver function.","Total bilirubin levels including conjugated (water-soluble) and unconjugated (water-insoluble) forms.","Normal serum total: 0.3–1.0 mg/dL; Critically high: >2.5 mg/dL. No tiered or sex-specific ranges.","Liver dysfunction/disease, bile duct obstruction, jaundice, increased RBC breakdown, hemolytic anemia. ~10% of population has Gilbert's syndrome (harmless elevation). Some research suggests cardioprotective antioxidant effects.","May suggest certain medications, genetic disorders, or conditions affecting RBC production. Low levels generally not a concern.","Used to diagnose and monitor liver diseases, bile duct conditions, RBC disorders. Included in SiPhox Cardiometabolic+ Panel.","Balanced diet with fiber, meat, dairy, healthy fats. Avoid saturated fats, sugars, high-calorie meals. Maintain healthy weight. Exercise regularly. Limit alcohol.","MedlinePlus; ABIM; University of Rochester; Cleveland Clinic; Mayo Clinic; NIH/PMC; American Liver Foundation"
"Progesterone","A hormone produced primarily by ovaries in females, with smaller amounts from adrenal glands. Fluctuates throughout menstrual cycle, peaking during luteal phase. Critical for menstrual cycle, fertility, pregnancy, mood, and sleep.","Progesterone levels in ng/mL — monitors reproductive hormone status and overall hormonal balance.","Female follicular: 0.02–0.9 ng/mL; Female luteal: 2–30 ng/mL; Male adult: 0.12–0.3 ng/mL (ABIM). No tiered breakdown.","Elevated during luteal phase or pregnancy (normal). In non-pregnant: may indicate ovarian cysts, adrenal disorders, or certain medications.","May indicate anovulation, luteal phase defect, or hormonal disorders. Medical evaluation essential.","Inadequate progesterone can cause menstrual irregularities, infertility, increased miscarriage risk. Balanced levels crucial for reproductive health.","Foods rich in zinc, vitamin C, B vitamins, magnesium. Higher synthetic folate intake correlates with higher luteal progesterone. Stress management: mindfulness, meditation, deep breathing, adequate sleep.","Cleveland Clinic; NCBI/PubMed studies; ABIM; Osmosis from Elsevier"
"DNA Methylation","A biological process that modifies DNA by adding a methyl group, affecting gene expression without altering DNA sequence. Functions as regulatory mechanism for gene activation/suppression. Critical for development, aging, and gene expression.","Biological age through analysis of methylation patterns at specific DNA sites using the 'epigenetic clock' methodology. Provides estimate of physiological vs chronological age.","No specific numerical ranges. Biological age lower than chronological = healthy lifestyle, lower disease risk. Biological age higher = higher condition risk, greater bodily stress.","Body is aging faster than expected, potentially higher risk for age-related diseases.","Healthier aging process and potentially lower risk for age-related diseases.","Provides insights into disease risk, longevity, overall health trajectory. Identifies if body is aging faster due to lifestyle, environment, or genetics, enabling early intervention.","Colorful diet rich in fruits, vegetables, seeds, lean proteins; focus on folate, B12, polyphenols. Regular exercise. Stress management. Avoid environmental toxins. Quality sleep.","Aanes H et al. (Sci Rep 2023); Jylhava J et al. (EBioMedicine 2017); Bocklandt S et al. (PLoS ONE 2011); CDC; University of Glasgow"
"Cadmium","A toxic heavy metal from industrial processes like mining, smelting, battery/plastic production. Not essential for human health; accumulates in the body causing severe damage.","Blood cadmium levels to assess exposure and accumulation of this toxic heavy metal.","Normal: <0.75 ug/L (ZRT Laboratory). No tiered or sex-specific ranges.","Occupational exposure, smoking (major source), consumption of contaminated food or water.","Not specifically addressed (low cadmium is the goal).","Kidney dysfunction/damage, bone demineralization and osteoporosis, respiratory issues, increased cancer risk (lung, prostate, kidney). Chronic exposure leads to kidney damage, bone demineralization, cancer.","Avoid shellfish, liver, kidney meats. Ensure adequate iron intake (iron deficiency increases cadmium absorption). Protective equipment in high-risk industries. Quit smoking.","ATSDR Cadmium Toxicity (2012); ATSDR Case Studies; OSHA Cadmium Guidelines"
"Copper","An essential mineral vital for functioning of many enzymes and overall health. Crucial for iron metabolism, RBC formation, healthy bones, blood vessels, nerves, immune function, brain development, connective tissue.","Blood serum levels of copper in mg/L.","Normal: 0.64–1.10 mg/L (ZRT Laboratory). No tiered or sex-specific ranges.","Copper toxicity from excessive intake, supplementation, or genetic conditions like Wilson's disease. Can cause GI distress, liver damage, neurological symptoms.","Copper deficiency from poor intake, malabsorption, or Menkes disease. Can lead to anemia, cardiovascular abnormalities, bone defects, compromised immune function.","Copper imbalances tied to Alzheimer's disease, cardiovascular disease, and cancer.","Dietary: beef liver, shellfish, dark chocolate, nuts, seeds, whole grains, potatoes, leafy greens. Supplementation: consult provider; take zinc with copper. If elevated: avoid copper pipes and cookware.","ZRT Laboratory; NIH; Harvard School of Public Health; WebMD"
"Magnesium","An essential mineral and the fourth most abundant in the human body. Functions as a cofactor in over 300 enzymatic reactions.","Blood magnesium levels indicating concentration of this critical mineral in circulation.","In Range: 0–6.98 ug/L; Out of Range: >6.98 ug/L (ZRT Laboratory). No sex-specific ranges.","Relatively uncommon; may result from excessive supplementation or kidney dysfunction.","May stem from poor dietary intake, GI diseases, chronic alcoholism, or certain medications.","Muscle cramps/fatigue, increased cardiovascular disease risk, migraines, neurological disruption, Type 2 Diabetes risk, bone health deterioration.","Leafy greens, nuts, seeds, whole grains, legumes (pumpkin seeds 156 mg/oz, chia seeds 111 mg/oz). Reduce alcohol. Manage stress. Supplements: aspartate, citrate, lactate, chloride absorb better than oxide/sulfate.","Al Alawi AM et al. (Int J Endocrinol 2018); Rivlin RS (J Am Coll Nutr 1994); Cuciureanu MD & Vink R (U of Adelaide Press 2011)"
"Mercury","A toxic heavy metal found in elemental, inorganic, and organic forms. Highly toxic, particularly to the nervous system.","Mercury levels in the body to assess exposure risk.","Normal: <6.98 ug/L (ZRT Laboratory). No tiered or sex-specific ranges.","Elevated from dietary sources (fish/shellfish), occupational exposure, or certain traditional medicines.","Not specifically addressed (low mercury is the goal).","Neurological and behavioral disorders, severe kidney damage, impaired fetal and child development, bioaccumulation in tissues over time.","Avoid mercury-containing products. Limit high-mercury fish (shark, swordfish, king mackerel, tilefish); choose salmon, cod, sardines, trout. Follow occupational safety guidelines.","EPA Mercury (2024)"
"Selenium","An essential trace mineral important for antioxidant enzyme production protecting against oxidative stress and inflammation. Plays a role in thyroid hormone metabolism and immune function.","Serum selenium levels in ug/L.","Normal: 130–362 ug/L (ZRT Laboratory). No tiered or sex-specific ranges.","Excessive intake (often supplements) can lead to toxicity: GI distress, hair loss, neurological damage.","Deficiency from poor intake, certain diseases, GI conditions. Associated with increased heart disease risk, thyroid dysfunction, weakened immune response.","Supports immune function, thyroid health, reproductive health. Hypothesized role against cancer, cardiovascular disease, thyroid disease, cognitive decline.","Brazil nuts (1 oz = 544 mcg), seafood, meat, eggs, grains. Supplementation if dietary intake insufficient. Limit alcohol.","NIH Selenium (2021)"
"Zinc","An essential trace element involved in over 300 enzymatic reactions. Plays critical roles in immune function, taste/smell perception, growth and development across all life stages.","Blood zinc levels for metabolic processes including protein synthesis, DNA synthesis, and cell division.","Normal: 5.06–8.57 mg/L (ZRT Laboratory). No tiered or sex-specific ranges.","Toxicity: nausea, vomiting, appetite loss, stomach cramps, diarrhea, headaches. Chronic high intake interferes with copper absorption, potentially causing copper deficiency, anemia, weakened immunity.","Impaired immune function, increased infection susceptibility, growth retardation in children, delayed sexual maturation, hair loss, diarrhea, eye/skin lesions, appetite loss, impaired wound healing.","Maintains structural protein integrity, protects cells from oxidative damage, supports wound healing and immune defense.","Meat, shellfish, dairy, nuts, seeds, legumes, whole grains; oysters contain more than daily recommended intake per serving. Supplementation if needed (consult provider re: interactions).","Chen B et al. Signal Transduction and Targeted Therapy (2024)"
"Iron Saturation","Measures the percentage of transferrin (main iron transport protein) currently carrying iron. Reflects how effectively the body distributes available iron. Calculated using serum iron and TIBC.","Percentage of transferrin bound to iron, iron distribution efficiency, iron availability and transport.","Standard Lab: Low <20%; In range 20–50%; High >50%. SiPhox: Low <15%; In range 15–55%; High >55%. No sex-specific ranges.","Iron overload; over time can contribute to hemochromatosis, liver injury, joint pain, heart dysfunction.","Iron deficiency or anemia. Symptoms: tiredness, lightheadedness, shortness of breath, poor concentration.","Critical for oxygen delivery (hemoglobin), cellular energy production, immune function. More balanced view than serum iron alone (which fluctuates daily).","Low: iron-rich foods (red meat, poultry, lentils, beans, tofu, leafy greens), pair with vitamin C, cast iron cookware, avoid tea/coffee/calcium with meals, iron supplements. High: limit red meat, avoid iron supplements, reduce vitamin C supplementation.","NIH; Mayo Clinic; Medscape"
"ApoB:ApoA1 Ratio","Compares ApoB to ApoA1 levels. Considered stronger than total cholesterol/HDL and LDL/HDL ratios for predicting cardiovascular risk. Highly valuable for detecting atherogenic risk.","Ratio of ApoB to ApoA1 in blood to assess cardiovascular disease risk. Lower ratios = lower disease risk.","Male: Low risk <0.77; Moderate 0.77–0.95; High risk >0.95. Female: Low risk <0.63; Moderate 0.63–0.78; High risk >0.78. General consensus: Optimal <0.8.","Increased risk for metabolic syndrome, coronary artery disease, coronary heart disease, all-cause mortality.","Reduced cardiovascular risk and healthier apolipoprotein profiles.","Elevated ratios associated with multiple cardiovascular and metabolic conditions. Valuable screening marker.","Mediterranean or vegan diet; fermented dairy; limit sugar; higher protein; polyunsaturated fats; adequate vitamin D, C, magnesium; regular exercise; improved sleep hygiene.","Mayo Clinic Labs; PubMed; Academic research on metabolic syndrome/coronary disease/mortality"
"LDL:ApoB Ratio","Reveals LDL particle size and density by dividing LDL cholesterol by ApoB (both in mg/dL). Since each LDL particle contains one ApoB molecule, ApoB directly counts particle number while LDL measures total cholesterol amount.","LDL particle size and density distribution — whether cholesterol is across many small particles or fewer large ones.",">1.3 = Large buoyant LDL (Pattern A) — lower CV risk; 1.2–1.3 = Mixed — intermediate risk; <1.2 = Small dense LDL (Pattern B) — higher CV risk. Note: Even with favorable ratios ApoB >90 mg/dL indicates increased risk.","Fewer, larger LDL particles carrying cholesterol — lower cardiovascular risk.","More numerous, smaller, denser LDL particles — greater CV risk. These penetrate arterial walls more easily, remain in circulation longer, oxidize more readily, trigger inflammatory responses.","People with lower ratios face significantly higher coronary artery disease risks even with normal LDL levels — explains why some with acceptable numbers still experience heart attacks.","Reduce refined carbs and sugar; replace with healthy fats. Combine aerobic + resistance training (150+ min/week). 5–10% weight reduction improves particle distribution. Medications: statins, fibrates/niacin, PCSK9 inhibitors.","PubMed Central; Multiple studies on small dense LDL as cardiovascular biomarker"
